date,open,high,low,close,volume
2015-04-06,2049.87,2055.45,2043.26,2046.43,460493
2015-04-07,2059.05,2059.09,2043.79,2047.03,436233
2015-04-08,2048.75,2060.19,2046.09,2059.26,552684
2015-04-09,2060.30,2064.46,2054.17,2058.87,529862
2015-04-10,2066.32,2089.09,2065.39,2087.76,658383
2015-04-13,2094.10,2099.97,2088.82,2098.92,561806
2015-04-14,2101.76,2111.73,2095.97,2111.72,648846
2015-04-15,2114.56,2122.72,2110.25,2119.96,451397
2015-04-16,2134.14,2139.90,2125.54,2139.90,476420
2015-04-17,2142.72,2144.76,2134.10,2143.50,464627
2015-04-20,2126.55,2146.73,2126.55,2146.71,509037
2015-04-21,2153.42,2153.84,2140.12,2144.79,561781
2015-04-22,2146.59,2161.23,2125.88,2143.89,769387
2015-04-23,2156.94,2174.72,2139.33,2173.41,521587
2015-04-24,2181.24,2189.54,2154.27,2159.80,508420
2015-04-27,2169.14,2169.14,2152.09,2157.54,392339
2015-04-28,2162.50,2164.52,2144.85,2147.67,415055
2015-04-29,2155.01,2156.24,2126.36,2142.63,458065
2015-04-30,2134.94,2136.90,2121.29,2127.17,509130
2015-05-04,2134.51,2139.30,2128.72,2132.23,355620
2015-05-06,2122.03,2123.22,2095.60,2104.58,428092
2015-05-07,2098.48,2099.44,2067.99,2091.00,423246
2015-05-08,2090.19,2094.06,2082.72,2085.52,309505
2015-05-11,2106.12,2110.79,2097.38,2097.38,329704
2015-05-12,2100.63,2101.72,2088.64,2096.77,391924
2015-05-13,2100.10,2115.36,2100.08,2114.16,377032
2015-05-14,2115.59,2121.68,2111.72,2120.33,430833
2015-05-15,2132.53,2134.36,2104.77,2106.50,491706
2015-05-18,2108.15,2113.72,2099.48,2113.72,445155
2015-05-19,2114.29,2126.89,2107.62,2120.85,418480
2015-05-20,2128.01,2140.24,2125.49,2139.54,452114
2015-05-21,2139.68,2140.60,2121.49,2122.81,398146
2015-05-22,2131.11,2146.10,2126.88,2146.10,444585
2015-05-26,2146.47,2148.70,2130.30,2143.50,381383
2015-05-27,2133.49,2134.95,2103.64,2107.50,439029
2015-05-28,2117.77,2123.52,2110.89,2110.89,416116
2015-05-29,2109.38,2123.39,2106.70,2114.80,456143
2015-06-01,2110.12,2110.88,2086.00,2102.37,426928
2015-06-02,2102.62,2107.17,2076.16,2078.64,520056
